Nitin Sawhney	bc3d74c5-9328-4a1b-8014-3ecdb3dababe	1964/5/12	null/null/null	Person	United Kingdom	Male	null	null	null
Barbara Clear	1e561842-1389-42df-b9f2-dd217c4fee85	1964/4/24	null/null/null	Person	Germany	Female	null	null	null
Naledge	6c7dfe6a-4b62-4ce4-b430-b6dacee61c60	null/null/null	null/null/null	Person	United States	Male	null	null	null
Luke Temple	27c978f2-284d-469f-a116-23f7fca9a6fc	null/null/null	null/null/null	Person	United States	Male	null	null	null
Deadly Avenger	c26486df-e776-4e0d-917f-d1b988d7e3b3	null/null/null	null/null/null	Person	United Kingdom	Male	null	null	null
Ferlin Husky	c2348d06-40cc-4a29-953a-5fb753905844	1925/12/3	2011/3/17	Person	United States	Male	null	null	null
Jonas Kopp	bbac5fbd-383a-4aad-882e-d6d8974c02ef	1981/null/null	null/null/null	Person	Argentina	Male	null	null	null
Jerry Donahue	f4935252-8d4d-4af8-ae96-4b95df8c601e	1946/9/24	null/null/null	Person	United States	Male	null	null	null
Soiled	08712dee-d648-4ed3-bf0c-aac7c1f2e802	null/null/null	null/null/null	Person	United Kingdom	Male	project of electronic musician Marcus H	null	null
René Froger	d64758a9-5950-465e-8d5f-fb7a7ecd4843	1960/11/5	null/null/null	Person	Netherlands	Male	null	null	null
Lee Burridge	42f83694-9fcc-496f-815a-aa9d140c56ba	1968/11/null	null/null/null	Person	United Kingdom	Male	null	null	null
Simulator	cdf3027c-479d-479a-baa6-057cd34d1750	null/null/null	null/null/null	Person	United States	Male	null	null	null
Wolfgang Dauner	c979ee4a-718b-499a-9933-5d825cfb4603	1935/12/30	null/null/null	Person	Germany	Male	null	null	null
Styrofoam	905572f1-cb4f-4df7-bac7-75cf6c27e3ac	null/null/null	null/null/null	Person	Belgium	Male	null	null	null
DJ Irene	60c26752-9397-48d4-a232-21419c174a8d	null/null/null	null/null/null	Person	United States	Female	null	null	null
